Monster,Monster ID,Book,Page,Type,Size,Category,Legendary,CR,PB,XP,Str Mod,Dex Mod,Con Mod,Int Mod,Wis Mod,Cha Mod,Str Save,Dex Save,Con Save,Int Save,Wis Save,Cha Save,Blinded,Charmed,Deafened,Exhaustion,Frightened,Grappled,Incapacitated,Invisible,Paralyzed,Petrified,Poisoned,Prone,Restrained,Stunned,Unconscious,Bludgeoning,Piercing,Slashing,Acid,Cold,Fire,Force,Lightning,Necrotic,Poison,Psychic,Radiant,Thunder,Initiative,HP Multiplier,AC,adj AC,HP,adj HP,SB,adj SB,AB,adj AB,DPR,adj DPR,Save DC
0,none,none,0.0,Beast,Medium,none,N,0.0,2,7.0,3.0,2.0,2.0,-2.0,1.0,-2.0,3,2,2,-2,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,12.0,12.0,19.5,19.5,0.7,0.7,,,,,
Aarakocra Aeromancer,5194864-aarakocra-aeromancer,MM (2024),10.0,Elemental,Medium,generic,N,4.0,2,1000.0,0.0,3.0,1.0,1.0,3.0,1.0,0,5,1,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,16.0,20.0,66.0,66.0,2.2,2.2,5.0,5.0,43.333332,43.333332,13.0
Aarakocra Skirmisher,5194865-aarakocra-skirmisher,MM (2024),10.0,Elemental,Medium,generic,N,0.25,2,37.0,0.0,2.0,1.0,0.0,1.0,0.0,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,16.0,11.0,11.0,0.7,0.7,4.0,4.0,8.0,8.0,
Aberrant Cultist,5194866-aberrant-cultist,MM (2024),86.0,Humanoid,Medium,generic,N,8.0,3,3500.0,0.0,4.0,1.0,3.0,4.0,2.0,0,4,1,6,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,14.0,16.0,137.5,165.5,3.3,3.3,7.0,7.0,48.5,48.5,15.0
Aberrant Death’s Head,6491338-aberrant-deaths-head,RTHW,243.0,Undead,Tiny,generic,N,1.0,2,150.0,-1.0,1.0,1.0,-1.0,2.0,-4.0,-1,1,1,1,4,-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,16.0,20.0,24.5,24.5,0.3,0.3,3.0,3.0,7.0,7.0,
Abjurer Archmage,6719566-abjurer-archmage,AU,135.0,Humanoid,Medium,generic,N,15.0,5,13000.0,0.0,3.0,1.0,5.0,2.0,3.0,0,3,6,10,7,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,1.0,16.0,16.0,198.0,318.0,4.8,13.8,10.0,10.0,86.0,86.0,18.0
Aboleth,5194867-aboleth,MM (2024),12.0,Aberration,Large,generic,L,10.0,4,5700.0,5.0,-1.0,2.0,4.0,2.0,4.0,5,3,6,8,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,17.0,17.0,150.0,249.0,5.3,5.3,9.0,9.0,67.0,80.0,16.0
Aboleth,5194867-aboleth,MM (2024),12.0,Aberration,Large,generic,LL,11.0,4,6800.0,5.0,-1.0,2.0,4.0,2.0,4.0,5,3,6,8,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,17.0,17.0,150.0,269.0,5.3,5.3,9.0,9.0,79.0,92.0,16.0
Abominable Yeti,5194868-abominable-yeti,MM (2024),340.0,Monstrosity,Huge,generic,N,9.0,4,4500.0,7.0,0.0,6.0,-1.0,1.0,-1.0,7,0,6,-1,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,15.0,15.0,137.5,157.5,2.0,2.0,11.0,11.0,72.0,72.0,18.0
Abveku,6719629-abveku,AUD,122.0,Fiend,Medium,generic,N,14.0,5,11500.0,3.0,6.0,5.0,3.0,4.0,2.0,8,11,5,8,9,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,11.0,1.0,17.0,23.0,209.0,209.0,7.2,15.2,11.0,11.0,78.0,93.6,18.0
